iter	Passed	Remaining
0	5	7746
1	7	4902
2	9	3933
3	10	3418
4	11	3055
5	13	2804
6	14	2617
7	15	2485
8	16	2418
9	18	2325
10	19	2256
11	20	2193
12	22	2203
13	23	2185
14	25	2141
15	26	2101
16	27	2066
17	28	2047
18	29	2018
19	31	1990
20	32	1967
21	33	1948
22	34	1936
23	36	1959
24	38	1951
25	39	1934
26	40	1922
27	42	1921
28	43	1907
29	44	1894
30	46	1881
31	47	1874
32	48	1862
33	49	1851
34	51	1866
35	53	1863
36	54	1857
37	55	1846
38	56	1836
39	58	1826
40	59	1822
41	60	1821
42	63	1855
43	66	1892
44	67	1890
45	69	1881
46	70	1872
47	71	1873
48	73	1866
49	74	1859
50	75	1852
51	76	1844
52	78	1839
53	80	1844
54	81	1840
55	82	1834
56	83	1828
57	85	1820
58	86	1815
59	87	1810
60	88	1804
61	90	1798
62	91	1792
63	92	1787
64	94	1790
65	95	1785
66	96	1780
67	98	1774
68	99	1769
69	100	1764
70	101	1760
71	103	1754
72	104	1749
73	105	1744
74	106	1740
75	108	1740
76	109	1738
77	110	1734
78	112	1729
79	113	1725
80	114	1721
81	116	1720
82	117	1716
83	118	1711
84	119	1707
85	120	1703
86	122	1703
87	123	1703
88	125	1699
89	126	1695
90	127	1691
91	128	1687
92	130	1684
93	131	1681
94	132	1677
95	133	1673
96	134	1670
97	136	1671
98	137	1669
99	139	1666
100	140	1663
101	141	1660
102	142	1657
103	144	1654
104	145	1650
105	146	1645
106	147	1641
107	148	1637
108	150	1636
109	151	1635
110	152	1632
111	153	1628
112	154	1625
113	156	1621
114	157	1617
115	158	1613
116	159	1609
117	160	1605
118	161	1602
119	162	1599
120	164	1600
121	165	1597
122	166	1594
123	168	1591
124	169	1589
125	170	1586
126	171	1582
127	172	1580
128	173	1576
129	175	1574
130	176	1573
131	178	1574
132	179	1573
133	181	1572
134	182	1570
135	183	1567
136	184	1564
137	185	1561
138	186	1558
139	187	1554
140	189	1552
141	190	1549
142	191	1550
143	193	1548
144	194	1545
145	195	1543
146	196	1540
147	197	1537
148	199	1534
149	200	1533
150	201	1530
151	202	1527
152	203	1524
153	205	1526
154	206	1524
155	207	1522
156	209	1519
157	210	1516
158	211	1514
159	212	1512
160	213	1509
161	214	1506
162	215	1503
163	217	1501
164	218	1501
165	219	1499
166	221	1496
167	222	1495
168	223	1493
169	224	1491
170	225	1488
171	227	1486
172	228	1485
173	229	1483
174	231	1487
175	233	1489
176	234	1487
177	236	1485
178	237	1482
179	238	1480
180	239	1478
181	240	1476
182	241	1474
183	243	1476
184	245	1474
185	246	1472
186	247	1469
187	248	1467
188	250	1467
189	251	1465
190	252	1463
191	253	1460
192	254	1459
193	257	1464
194	259	1465
195	260	1463
196	261	1460
197	262	1458
198	263	1456
199	264	1454
200	266	1452
201	267	1449
202	268	1447
203	269	1446
204	271	1445
205	272	1443
206	273	1440
207	274	1438
208	275	1436
209	276	1433
210	277	1431
211	278	1429
212	280	1426
213	281	1425
214	283	1425
215	284	1423
216	285	1421
217	286	1419
218	287	1416
219	288	1414
220	289	1411
221	290	1409
222	291	1407
223	293	1406
224	294	1406
225	296	1405
226	297	1403
227	298	1401
228	299	1399
229	301	1397
230	302	1395
231	303	1393
232	304	1391
233	305	1389
234	307	1390
235	308	1389
236	309	1387
237	310	1385
238	312	1383
239	313	1381
240	314	1379
241	315	1377
242	317	1376
243	318	1375
244	320	1375
245	321	1373
246	322	1372
247	323	1370
248	324	1368
249	325	1366
250	327	1364
251	328	1363
252	329	1361
253	331	1361
254	332	1360
255	333	1359
256	335	1357
257	336	1355
258	337	1353
259	338	1351
260	339	1350
261	341	1348
262	342	1348
263	344	1347
264	345	1346
265	346	1344
266	347	1342
267	348	1340
268	350	1339
269	351	1337
270	352	1335
271	353	1333
272	354	1332
273	356	1330
274	357	1329
275	358	1327
276	359	1326
277	360	1323
278	361	1321
279	363	1320
280	364	1318
281	365	1316
282	367	1316
283	368	1314
284	369	1313
285	370	1311
286	371	1309
287	372	1307
288	374	1306
289	375	1304
290	376	1302
291	377	1300
292	379	1300
293	380	1298
294	381	1296
295	382	1294
296	383	1293
297	384	1291
298	385	1289
299	387	1287
300	387	1284
301	388	1282
302	389	1280
303	391	1278
304	392	1276
305	393	1275
306	394	1273
307	395	1272
308	396	1270
309	398	1268
310	399	1267
311	400	1265
