iter	Passed	Remaining
0	166	2000150
1	170	1024368
2	173	694536
3	176	529173
4	179	431434
5	183	366651
6	185	318646
7	189	283513
8	191	255331
9	195	234431
10	199	217388
11	202	202352
12	204	188276
13	205	176317
14	207	166012
15	209	156945
16	211	149400
17	213	142339
18	215	135944
19	217	130156
20	219	125084
21	221	120364
22	222	115942
23	224	111952
24	226	108610
25	229	105492
26	230	102352
27	232	99432
28	234	96767
29	236	94221
30	237	91825
31	239	89631
32	242	87825
33	244	85922
34	245	84034
35	247	82292
36	249	80540
37	250	78927
38	252	77427
39	254	75995
40	256	74775
41	258	73609
42	260	72440
43	262	71280
44	264	70144
45	265	69044
46	267	67939
47	268	66892
48	270	65897
49	272	65064
50	274	64215
51	275	63380
52	277	62609
53	279	61795
54	280	60996
55	282	60210
56	284	59517
57	285	58806
58	287	58167
59	289	57538
60	290	56896
61	292	56248
62	293	55639
63	295	55046
64	296	54476
65	298	53915
66	299	53372
67	301	52878
68	303	52464
69	305	51982
70	306	51497
71	307	51023
72	309	50565
73	310	50105
74	312	49662
75	313	49238
76	315	48820
77	316	48425
78	318	48078
79	321	47830
80	322	47526
81	324	47170
82	326	46821
83	328	46540
84	329	46227
85	331	45905
86	333	45687
87	335	45454
88	337	45192
89	339	44968
90	341	44710
91	343	44439
92	344	44153
93	346	43879
94	348	43615
95	350	43475
96	352	43219
97	353	42966
98	355	42717
99	356	42469
100	358	42219
101	359	41980
102	361	41745
103	362	41520
104	365	41364
105	367	41210
106	369	41020
107	370	40801
108	372	40597
109	373	40390
110	375	40188
111	376	39984
112	378	39791
113	380	39666
114	382	39532
115	384	39342
116	385	39161
117	387	38989
118	388	38807
119	390	38631
120	391	38465
121	393	38293
122	395	38143
123	397	38039
124	398	37904
125	400	37774
126	402	37624
127	403	37467
128	405	37316
129	407	37167
130	408	37022
131	410	36883
132	412	36818
133	414	36720
134	416	36600
135	417	36462
136	419	36325
137	421	36189
138	422	36053
139	424	35919
140	425	35795
141	427	35708
142	429	35627
143	431	35531
144	433	35403
145	434	35278
146	435	35154
147	437	35032
148	438	34912
149	440	34797
150	442	34740
151	444	34683
152	446	34592
153	448	34492
154	450	34388
155	451	34279
156	452	34170
157	454	34066
158	455	33959
159	458	33899
160	459	33798
161	461	33691
162	462	33591
163	464	33488
164	465	33398
165	467	33299
166	468	33200
167	470	33108
168	471	33015
169	473	32949
170	475	32889
171	477	32857
172	479	32772
173	480	32689
174	482	32598
175	483	32513
176	485	32427
177	486	32338
178	488	32289
179	490	32241
180	493	32193
181	494	32108
182	496	32030
183	497	31950
184	499	31872
185	500	31820
186	502	31755
187	504	31701
188	506	31645
189	508	31585
190	510	31548
191	512	31496
192	514	31449
193	515	31375
194	517	31301
195	518	31255
196	520	31199
197	522	31129
198	524	31074
199	525	31018
200	527	30971
201	529	30931
202	531	30883
203	532	30817
204	535	30785
205	536	30729
206	538	30660
207	539	30598
208	541	30548
209	543	30497
210	544	30435
211	546	30379
212	547	30316
213	549	30277
214	551	30248
215	553	30194
216	555	30145
217	556	30083
218	558	30036
219	559	29976
220	561	29918
221	562	29860
222	564	29823
223	566	29783
224	568	29743
225	570	29720
226	572	29672
227	573	29617
228	575	29562
229	576	29520
230	578	29470
231	581	29477
232	584	29519
233	586	29480
234	587	29430
235	589	29379
236	590	29328
237	592	29273
238	593	29221
239	595	29190
240	597	29166
241	600	29161
242	602	29132
243	603	29089
244	605	29044
245	606	28995
246	608	28946
247	610	28913
248	612	28902
249	614	28880
250	616	28851
251	618	28812
252	619	28768
253	621	28729
254	623	28698
255	624	28662
256	627	28658
257	629	28656
258	631	28645
259	633	28613
260	635	28576
261	637	28543
262	638	28509
263	640	28470
264	643	28500
265	645	28465
266	646	28429
267	648	28388
268	650	28351
269	651	28312
270	653	28270
271	655	28257
272	657	28228
273	659	28212
274	661	28197
275	663	28180
276	665	28148
277	666	28123
278	668	28095
279	670	28060
280	671	28021
281	673	27995
282	675	27981
283	678	27995
284	680	27968
285	681	27930
286	683	27894
287	685	27856
288	686	27819
289	688	27801
290	690	27775
291	692	27749
292	694	27738
293	696	27733
294	698	27703
295	699	27674
296	701	27639
297	703	27618
298	705	27598
299	706	27569
300	708	27538
301	710	27508
302	711	27471
303	713	27442
304	714	27406
305	716	27370
306	717	27336
307	720	27340
308	721	27308
309	723	27276
310	724	27241
311	726	27210
312	727	27179
313	729	27147
314	730	27114
315	732	27081
316	734	27065
317	736	27047
318	737	27017
319	739	26986
320	740	26954
321	742	26925
322	743	26894
323	745	26863
324	746	26830
325	748	26797
326	750	26792
327	752	26766
328	753	26732
329	755	26700
330	756	26674
331	758	26644
332	759	26614
333	761	26586
334	762	26556
335	764	26525
336	766	26521
337	767	26497
338	769	26472
339	771	26443
340	772	26415
341	774	26386
342	775	26359
343	777	26328
344	778	26299
345	780	26275
346	782	26270
347	783	26249
348	785	26220
349	786	26195
350	788	26170
351	790	26142
352	791	26115
353	792	26086
354	794	26059
355	796	26046
356	798	26032
357	799	26007
358	801	25981
359	802	25954
360	804	25929
361	805	25904
362	807	25878
363	808	25851
364	810	25825
365	812	25812
366	813	25788
367	815	25765
368	816	25742
369	818	25719
370	819	25693
371	821	25666
372	822	25641
373	824	25617
374	825	25593
375	827	25586
376	829	25563
377	830	25541
378	832	25518
379	833	25492
380	835	25469
381	836	25447
382	838	25422
383	839	25402
384	841	25382
385	843	25381
386	845	25364
387	846	25342
388	848	25320
389	850	25304
390	852	25302
391	854	25293
392	855	25274
393	857	25258
394	859	25248
395	861	25231
396	862	25216
397	864	25202
398	866	25187
399	867	25168
400	869	25147
401	870	25124
402	872	25102
403	874	25102
404	876	25079
405	877	25057
406	878	25035
407	880	25012
408	881	24993
409	883	24972
410	884	24951
411	886	24929
412	887	24906
413	889	24901
414	891	24887
415	893	24870
416	894	24849
417	896	24828
418	897	24806
419	898	24770
420	899	24749
421	901	24727
422	902	24708
423	904	24697
424	906	24685
425	907	24667
426	909	24646
427	910	24628
428	912	24608
429	913	24587
430	915	24568
431	916	24550
432	918	24529
433	920	24519
434	921	24509
435	923	24491
436	924	24471
437	926	24451
438	927	24433
439	929	24416
440	930	24397
441	932	24379
442	933	24358
443	935	24347
444	937	24336
445	938	24319
446	940	24301
447	941	24281
448	943	24263
449	944	24245
450	946	24226
451	947	24207
452	948	24189
453	950	24177
454	952	24180
455	954	24164
456	956	24148
457	957	24130
458	959	24114
459	960	24097
460	961	24078
461	963	24061
462	964	24045
